,price,name,ext_color,int_color,drivetrain,mpg,fuel,transmission,engine,mileage,accidents,1owner,personal_use,review_comfort,review_design,review_performance,review_value,review_styling,review_reliability,sellers-notes
10,"$41,358",2021 INFINITI Q60 3.0t Red Sport 400,Majestic White,Graphite,All-wheel Drive,19–26,Gasoline,7-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,"40,298 mi.",None reported,Yes,Yes,5.0,5.0,5.0,5.0,5.0,5.0,"2021 INFINITI Q60 Red Sport 400 Coupe,Majestic White Exterior over Graphite Leather Interior,FACTORY OPTIONS INCLUDE:Proactive Package (Originally $2,850),Intelligent Cruise Control, Distance Control Assist, Direct Adaptive Steering,Lane Departure Prevention with Active Lane Control, Blind Spo …"
11,"$34,000",2022 Hyundai Santa Cruz 2.5T SEL Premium,Ice White,Black,All-wheel Drive,,Gasoline,SHIFTRONIC,2.5L I4 16V PDI DOHC Turbo,"5,104 mi.",None reported,No,No,4.5,4.2,4.3,3.9,4.7,4.2,"Hyundai Certified Used VehicleMoonroofBackup Camera Touchscreen Ice White 2022 Hyundai 4D Crew Cab Santa Cruz SEL Premium AWD Shiftronic 2.5L I4 Balance of Factory Warranty, Bluetooth / Handsfree Calling, Heated Seats, Back Up Camera, Push Button Start, Non-Smoker, Fully Serviced and Recon …"
12,"$270,977",2020 Lamborghini Huracan EVO Base,Bianco Monocerus,Nero Ade,Rear-wheel Drive,13–18,Gasoline,7-Speed Automatic with Auto-Shift,5.2L V10 40V GDI DOHC,"7,090 mi.",None reported,No,Yes,4.0,5.0,5.0,3.0,5.0,5.0,"Located @AristocratMotors.com in Merriam, KS! Contact Cody at 913-677-7472 or email at cody.Andrews@aristocratmotors.com with any questions or to schedule a test drive! @AristocratMotors.com this 2020 Lamborghini Huracan EVO RWD Coupe comes with the following packages: Life Style Pack Cup Holder & S …"
13,"$11,500",2006 GMC Sierra 1500 SLE,Onyx Black,Dark Pewter,Four-wheel Drive,15–19,E85 Flex Fuel,Automatic,Vortec 5.3L V-8 engine with 295HP,"132,248 mi.",None reported,Yes,No,4.4,4.3,4.5,4.3,4.4,4.4,"This 2006 Onyx Black GMC Sierra 1500 SLE1 4WD is well equipped and includes these features and benefits:


Located in Martinsburg, West Virginia, CMA's Toyota of Martinsburg serves all the surrounding areas in our home state, including a lot of cities and communities out of state in places …"
14,"$29,900",2014 BMW M6 Base,Gray Metallic,Silverstone,Rear-wheel Drive,14–20,Gasoline,7-Speed Automatic with Auto-Shift,4.4L V8 32V GDI DOHC Twin Turbo,"46,986 mi.",At least 1 accident or damage reported,No,No,4.8,4.9,5.0,4.9,4.9,4.8,THIS IS A FRESH TRADE THAT HAS NOT AND WILL NOT BE SERVICED. SOLD COMPLETELY AS IS AS WAS TRADED. SOLD WITH ABSOLUTELY NO GUARANTEES AT ALL. THIS IS JUST AN ALTERNATIVE TO TAKING IT TO THE AUCTION. PREVIOUS OWNER INFORMATION AVAILABLE. HERE ARE SOME THINGS ABOUT THE VEHICLE THAT WE NOTICED AND THERE …
15,"$20,900",2016 Acura MDX 3.5L,Crystal Black Pearl,Graystone,Front-wheel Drive,19–27,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,"92,937 mi.",None reported,No,Yes,4.7,4.5,4.5,4.5,4.5,4.6,"Welcome to Freeman Mazda Hyundai. We are located in Irving, TX off 183 and Loop 12. All of our cars are hand picked and inspected for your piece of mind. This MDX is equipped with the following options: Graystone Leather. Clean CARFAX. Crystal Black Pearl 2016 Acura MDX 3.5L FWD 9-Speed Automatic 3. …"
16,"$15,987",2015 Lexus IS 250,–,–,Rear-wheel Drive,21–30,Gasoline,6-Speed Automatic,2.5L V6 24V PDI DOHC,"119,631 mi.",None reported,No,Yes,4.8,4.7,4.6,4.6,4.8,4.8,"Recent Arrival! Ultra White 2015 Lexus IS 250 RWD 6-Speed Automatic Electronic with ECT-i 2.5L V6 DOHC 24V VVT-i Fresh oil change, Safety inspected, Fully detailed.TRANSPARENCY PRICING! Leesburg Auto Import values your time and is committed to providing you with an easy and transparent shopping expe …"
17,"$34,315",2020 GMC Canyon Denali,Summit White,Jet Black,Four-wheel Drive,17–24,Gasoline,8-Speed Automatic,3.6L V6 24V GDI DOHC,"78,513 mi.",None reported,Yes,Yes,4.7,4.7,4.8,4.7,4.9,4.9,"Clean CARFAX. CARFAX One-Owner. 4-Way Power Front Passenger Seat Adjuster, 5 Rectangular Chrome Assist Steps, Apple CarPlay/Android Auto, Black Spray-On Bedliner w/GMC Logo, Bose Premium 7-Speaker Audio System Feature, Driver Alert Package, Exterior Parking Camera Rear, Forward Collision Alert, Heat …"
18,"$10,995",2010 Mercedes-Benz E-Class E 350,Arctic White,Almond Beige,Rear-wheel Drive,18–26,Gasoline,7-Speed Automatic,3.5L V6 24V MPFI DOHC,"89,981 mi.",None reported,Yes,Yes,4.8,4.7,4.7,4.6,4.9,4.7,"Arctic White 2010 Mercedes-Benz E-Class E 350 RWD 7-Speed Automatic 3.5L V6 DOHC 24V CARFAX One-Owner. Fresh oil change, Safety inspected, Fully detailed.TRANSPARENCY PRICING! Leesburg Auto Import values your time and is committed to providing you with an easy and transparent shopping experience! Br …"
19,"$11,995",2014 Mazda Mazda5 Grand Touring,Deep Crystal Blue Mica,Black,Front-wheel Drive,22–28,Gasoline,5-Speed Automatic,2.5L I4 16V MPFI DOHC,"89,256 mi.",None reported,Yes,Yes,4.2,4.4,4.4,4.5,4.5,4.6,"CARFAX One-Owner. Clean CARFAX. Deep Crystal Blue Mica 2014 Mazda Mazda5 Grand Touring FWD 5-Speed Automatic with Manual Mode and Overdrive 2.5L I4 DOHC 16V VVT22/28 City/Highway MPGAwards: JD Power Initial Quality Study (IQS) 2014 KBB.com 5 Best Used Subcompact SUVs Under $10,000 2014 KBB.com …"
20,"$11,900",2016 Nissan NV200 SV,Cloud White,Gray,Front-wheel Drive,24–26,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,"149,550 mi.",None reported,No,No,5.0,5.0,5.0,5.0,5.0,5.0,"CARFAX NO ACCIDENTS, KEYLESS ENTRY, LOTS OF SPACE, TONS OF CARGO ROOM, ABS brakes, Air Conditioning, AM/FM radio, Anti-whiplash front head restraints, Dual front impact airbags, Dual front side impact airbags, Front anti-roll bar, Front wheel independent suspension, Low tire pressure …"
21,"$58,995",2019 BMW X7 xDrive50i,Alpine White,Beige,All-wheel Drive,15–21,Gasoline,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo,"59,420 mi.",None reported,Yes,Yes,4.5,4.6,4.0,3.4,4.5,3.5,NO FEES MEANS NO FEES. EVER.1. Nationwide Delivery - See Our Convenient Delivery Map for Pricing2. FREE CARFAX REPORT ON EVERY CAR3. Full tank of gas with every purchase 4. Free 90 Day Sirius/XM Trial (when vehicle is sat radio equipped) 5. Third party inspections available upon requestPrice shown …
22,"$126,995",2020 Mercedes-Benz AMG S 63 4MATIC,Blue,Black,All-wheel Drive,17–27,Gasoline,Automatic,"AMG 4L V-8 gasoline direct injection, DOHC, variable valve contr","5,879 mi.",None reported,Yes,Yes,,,,,,,"Welcome to Luxury Auto NYC! We offer premium luxury vehicles in a boutique setting so your car buying experience is second to none. All our vehicles come with the Luxury Auto NYC promise, we'll always be there to assist you. Come in for a test drive today, we look forward to seeing you soon! See de …"
23,"$36,650",2021 Toyota Highlander XLE,Celestial Silver Metallic,Graphite,Front-wheel Drive,21–29,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,"63,190 mi.",None reported,Yes,No,4.9,4.8,4.8,4.8,4.8,4.9,"Great deals at Don Jacobs Toyota!! Certified. Awards: ALG Residual Value Awards, Residual Value Awards Toyota Combined Details: Transferable Warranty Powertrain Limited Warranty: 84 Month/100,000 Mile (whichever comes first) from TCUV purchase date Warranty Deductible: $0 Roadside Assistan …"
24,"$46,987",2023 Acura RDX A-Spec,Majestic Black Pearl,Red,Front-wheel Drive,22–27,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,879 mi.,None reported,Yes,Yes,,,,,,,"2023 Acura RDX A-Spec Package Certified. Clean CARFAX. NAVIGATION/NAVI/GPS, SUNROOF/MOONROOF, Leather seats, Alloy Wheels, Heated Seats, ONE OWNER , CLEAN CAR FAX , BACK UP CAMERA , TECHNOLOGY PKG , BLUETOOTH, CERTIFIED PRE OWNED CPO, CPO, RDX A-Spec, 4D Sport Utility, 2.0L 16V D …"
25,"$24,805",2021 Honda Civic Sport,Black,Black,Front-wheel Drive,29–37,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,"33,036 mi.",None reported,Yes,No,4.6,4.7,4.7,4.6,4.8,4.6,Black Cloth. Odometer is 7419 miles below market average! Clean CARFAX. Priced below KBB Fair Purchase Price! Black 2021 Honda Civic Sport 2.0L I4 DOHC 16V i-VTEC CVT FWD CARFAX One-Owner. 29/37 City/Highway MPG If you are asking what is my car worth? We can answer that! If you are looking for your …
26,"$23,635",2018 Kia Stinger Base,Silky Silver,Black,Rear-wheel Drive,22–29,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,"38,318 mi.",None reported,No,Yes,4.7,4.7,4.8,4.7,4.8,4.6,"Silky Silver 2018 Kia Stinger RWD 8-Speed Automatic 2.0L I4 Turbocharged DOHC 16V ULEV II 255hp SPRINGFIELD WYLER HOTLINE 937-325-4601, VIP APPOINTMENT READY, 0 DOWN NOW, FINANCING AVAILABLE, REDUCED FOR IMMEDIATE SALE, SERVICE RECORDS AVAILABLE, Bumper Applique, Door Pocket Film, Hood Film, Paint P …"
27,"$25,499",2018 Ford F-150 XLT,Race Red,Medium Earth Gray,Four-wheel Drive,18–23,Gasoline,10-Speed Automatic,2.7L V6 24V PDI DOHC Twin Turbo,"98,923 mi.",None reported,Yes,No,4.8,4.8,4.8,4.6,4.8,4.7,4WD. 2018 Ford F-150 XLT 4D SuperCrew Race Red 4WD 10-Speed Automatic For more information call Outten Chevy of Hamburg at 610-562-2216 or visit us on the web at www.outtenchevyhamburg.com.
28,"$17,178",2014 BMW 428 i,Melbourne Red Metallic,Black,Rear-wheel Drive,23–35,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,"80,980 mi.",None reported,Yes,No,4.7,4.7,4.9,4.5,4.9,4.7,CLEAN AUTO CHECK! WOW!!! TAKE ADVANTAGE OF THE SAVINGS! BMW 4 SERIES! 428i RWD! THIS ONE WONT LAST LONG! COME IN AND SEE OUR INVENTORY! WE HAVE A VARIETY OF VEHICLES TO CHOOSE FROM! THIS ONE HAS ALL THE FEATURES TO PLEASE! No payments for 90 days! Special low APR financing is available with approved …
29,"$60,997",2022 Lexus RX 350 F SPORT Handling,Caviar,Red,All-wheel Drive,,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,"6,997 mi.",None reported,Yes,Yes,4.9,4.9,4.0,3.6,5.0,3.9,"Recent Arrival! Caviar 2022 Lexus RX 350 F Sport L/CERTIFIED BY LEXUS, 2 YRS & UNLIMITED MILE WARRANTY W/ YOUR NEXT 4 RECOMMENDED SERVICES, APPLE CARPLAY & ANDROID AUTO, NAVIGATION W/ MARK LEVINSON, HEATED & COOLED SEATS, HEATED STEERING WHEEL, AWD, BACK-UP CAMERA, BLIND SPOT MONIT …"
30,"$98,826",2022 Ford Shelby GT500 Base,Oxford White,Ebony,Rear-wheel Drive,12–18,Gasoline,7-Speed Automatic with Auto-Shift,5.2L V8 32V MPFI DOHC Supercharged,213 mi.,None reported,Yes,Yes,,,,,,,"Certified. Clean Carfax, Carfax One Owner, Great Service History, SYNC 3, Android Auto, Apple CarPlay, GPS / Navigation System, Bluetooth, USB Input, Sirius/ XM Satellite Radio, Backup Camera, Push Button Start, Leather Seats, BLIS Blind Spot Information System, Heated Mirrors, Radio: B&O Sound Syst …"
31,"$16,999",2014 BMW X6 xDrive35i,Blue,Saddle Brown,All-wheel Drive,17–24,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,"142,161 mi.",At least 1 accident or damage reported,No,Yes,4.9,4.7,4.8,4.5,4.8,4.5,"Key Features: Leather Seats... Vehicle Highlights: POWER SUNROOF / MOONROOF, NAVIGATION / GPS Premium Features: Navigation, Power moonroof, Back-up Camera, POWER SUNROOF / MOONROOF Entertainment: Anti-Theft AM/FM Stereo CD/MP3 Player, CD player, HD Radio …"
32,"$26,945",2018 INFINITI QX60 Base,Black,Graphite,All-wheel Drive,19–26,Gasoline,Automatic CVT,3.5L V6 24V MPFI DOHC,"25,840 mi.",At least 1 accident or damage reported,No,No,4.9,4.8,4.8,4.8,4.8,4.8,"Priced below KBB Fair Purchase Price! Black Obsidian 2018 INFINITI QX60 3.5L V6 CVT AWD Odometer is 5766 miles below market average! Awards: 2018 KBB.com 5-Year Cost to Own Awards Well equipped with, Non-Smoker, 2-Way Driver's Seat Power Lumbar Support, Active Trace Control, Around View Monitor …"
33,"$5,500",1997 Toyota Avalon XL,Green,Tan,Front-wheel Drive,21–31,Gasoline,4-Speed Automatic,3.0L V6 24V MPFI DOHC,"160,141 mi.",None reported,Yes,No,4.6,4.5,4.6,4.8,4.2,4.9,"Here at Open Road Auto Outlet, we are committed to offer honest market-based upfront pricing in a no pressure environment. We are locally owned and operated, and approach each client with a personalized level of service you can't get with the big corporate guys! It is no coincidence we have become o …"
34,"$9,799",1995 Jaguar XJS,Burgundy,Tan,Rear-wheel Drive,0–0,Gasoline,Automatic,4.0L I6,"93,143 mi.",None reported,No,Yes,4.9,4.5,4.6,5.0,5.0,4.9,ACTUAL LOW MILES 93K LEATHER CONVERTIBLE ALLOY WHEEL GOOD TIRES 4.0L I6 --- LARGE VARIETY OF VEHICLES AT YOUR CHOICE AUTOS AT TRUE AFFORDABLE PRICES. CHECK OUR LATEST INVENTORY AND SCHEDULE YOUR TEST DRIVE WITH US. WE ALSO BUY CARS FROM PRIVATE OWNERS JUST BRING YOUR VEHICLE AND GET CASH OUR FACETIM …
35,"$38,455",2022 Acura TLX Technology,Lunar Silver Metallic,Ebony,Front-wheel Drive,22–31,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,"4,825 mi.",None reported,Yes,Yes,4.3,4.3,4.7,5.0,5.0,5.0,"2022 Acura TLX Technology Package Clean CARFAX. NAVIGATION/NAVI/GPS, SUNROOF/MOONROOF, Leather seats, Alloy Wheels, Heated Seats, ONE OWNER , CLEAN CAR FAX , BACK UP CAMERA , TECHNOLOGY PKG , BLUETOOTH, CERTIFIED PRE OWNED CPO, CPO, TLX Technology Package, 4D Sedan, 2.0L DOHC, 10 …"
36,"$52,886",2021 Chevrolet Suburban LT,Satin Steel Metallic,Black,Four-wheel Drive,15–19,Gasoline,10-Speed Automatic,5.3L V8 16V GDI OHV,"81,426 mi.",At least 1 accident or damage reported,Yes,No,4.9,4.9,4.2,4.3,4.8,4.2,"Satin Steel Metallic 2021 Chevrolet Suburban LT 4WD 10-Speed Automatic with Overdrive EcoTec3 5.3L V8 Apple CarPlay, Backup Camera, Bluetooth, Convenience Package, GPS / Navigation System, Heated Leather Seats, Leather Seats, New Brakes, New Tires, Premium Package, Rear Climate Package, Remote Start …"
37,"$34,997",2021 Mercedes-Benz GLA 250 Base 4MATIC,Denim Blue Metallic,Macchiato Beige,All-wheel Drive,24–33,Gasoline,8-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,"26,688 mi.",None reported,Yes,Yes,4.9,4.9,4.9,4.8,4.8,4.9,"CARFAX One-Owner. Clean CARFAX. Certified. Denim Blue Metallic 2021 Mercedes-Benz GLA 250 4MATIC 4MATIC 8-Speed 2.0L I4 Turbocharged Back Up Camera, Moonroof, Leather, Heated Seats, GLA 250 4MATIC, 4D Sport Utility, 2.0L I4 Turbocharged, 8-Speed, 4MATIC, Denim Blue Metallic, Macchiato Beige w/MB-Tex …"
38,"$158,843",2021 Mercedes-Benz G-Class G 550 4MATIC,Selenite Gray Metallic,Black,All-wheel Drive,17–19,Gasoline,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,"11,769 mi.",None reported,Yes,Yes,,,,,,,"Visit us today at Mercedes-Benz of Burlington to take advantage of our Spring Event pricing NOW! Mercedes-Benz Certified! Unlimited Mileage Factory Warranty! 4MATIC! Very Low Mileage! Exceptionally Rare 2021 G550! Will not Last! Exclusive Interior Package, AMG Line Package, Night Package, 20 AMG Mu …"
39,"$30,000",2018 Ford F-150 Lariat,Oxford White,Black,Four-wheel Drive,19–24,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,"138,301 mi.",None reported,Yes,Yes,4.8,4.8,4.8,4.6,4.8,4.7,"2018 Ford F-150 Lariat Recent Arrival! Come take a look at this beautiful F-150! It is a recent trade in with no accidents and 135k miles! It is equipped with 4x4, AC, power windows, power locks, tilt steering wheel, steering wheel controls, cruise control, touch screen radio with a back up camera, …"
40,"$38,923",2021 Dodge Charger GT,Indigo Blue,Black,All-wheel Drive,18–27,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,"21,242 mi.",None reported,Yes,No,5.0,4.8,5.0,4.8,4.9,5.0,For the most accurate prices and vehicle information go to www.wowwoodys.comRARE PLUS PACKAGE WITH GIANT SUNROOF! Looking for a used car that's sure to turn heads? Check out this used 2021 Dodge Charger GT! This sleek and stylish car is sure to turn heads when you're driving down the street. It come …
41,"$22,895",2017 BMW X1 xDrive 28i,Black Sapphire Metallic,Beige,All-wheel Drive,22–31,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,"48,739 mi.",None reported,No,Yes,4.6,4.6,4.8,4.5,4.8,4.7,"Clean CARFAX. Black Sapphire Metallic 2017 BMW X1 xDrive28i AWD 8-Speed Automatic 2.0L 4-Cylinder DOHC 16V TwinPower Turbo22/31 City/Highway MPGAwards: JD Power Automotive Performance, Execution and Layout (APEAL) Study 2017 IIHS Top Safety PickReviews: Strong performance from its turbocharged …"
42,"$34,500",2017 Lexus LS 460 Base,Gray,Black,All-wheel Drive,16–23,Gasoline,8-Speed Automatic,4.6L V8 32V PDI DOHC,"71,366 mi.",None reported,No,Yes,4.9,4.7,4.7,4.5,4.9,4.7,"Autobahn USA Dedham is proud to present this... Gray 2017 Lexus LS 460 AWD 4.6L V8 DOHC 32V VVT-iE 8-Speed Automatic with Sequential Shift Awards: 2017 KBB.com Brand Image Awards At AUTOBAHN USA all our vehicles go through an extensive 128 point inspection, are fully reconditioned and detailed to …"
43,"$29,000",2007 Chevrolet Corvette Base,Victory Red,Red,Rear-wheel Drive,,Gasoline,6-Speed Automatic,6.0L V8 16V MPFI OHV,"41,524 mi.",None reported,No,Yes,4.4,4.3,5.0,4.8,4.9,4.7,"Victory Red 2007 Chevrolet Corvette Base Recent Arrival! Come check out this red Corvette! It is a recent trade in with no accidents and only 41k miles! It is equipped with rear wheel drive, AC, power windows, power locks, tilt steering wheel, steering wheel controls, cruise control, leather power s …"
44,"$30,495",2018 Audi S5 3.0T Premium Plus,Daytona Gray Pearl Effect,Black,All-wheel Drive,21–30,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo,"72,117 mi.",None reported,No,Yes,4.8,4.9,4.6,4.4,4.7,4.8,2018 Audi S5 3.0T Premium Plus quattro quattro 8-Speed Automatic with Tiptronic 3.0L TFSI1 YEAR - PA - INSPECTION - 5 DAY/100 MILE EXCHANGE POLICY - FULLY SERVICED - FREE CARFAX - SE HABLA ESPANOL! This vehicle has been fully serviced and went through a complete PA inspection. FREE 3 MONTH POWER TRA …
45,"$47,385",2021 Ford F-150 XLT,Oxford White,Black,Four-wheel Drive,22,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,"30,285 mi.",None reported,No,No,4.8,4.8,4.7,4.5,4.9,4.7,"XLT Sport Appearance Package, 302A Package, Heated Seats, Blind-Spot Monitors, Sunroof/Moonroof, Remote Start, 4X4, 20'' Wheels, Remainder of 3 year / 36,000 mile Factory Warranty, Remainder of 5 year / 60,000 mile Powertrain Warranty, CLEAN CARFAX/NO ACCIDENTS, 10-Way Power Driver & Passenger Seats …"
46,"$17,950",2016 BMW 328d Base,Glacier Silver Metallic,Black / Dark Oyster,Rear-wheel Drive,32–42,Diesel,8-Speed Automatic,2.0L I4 16V DDI DOHC Turbo Diesel,"80,677 mi.",None reported,No,Yes,5.0,4.8,5.0,4.8,4.8,5.0,"Backup Camera,Bluetooth,Heated Leather Seats,Heated Seats,Leather Seats,Memory Seat(s),Navigation System,Rear AC,Sunroof/Moonroof 2016 BMW 328d High-Value Options: GPS Navigation Bluetooth  Premium Package Comfort Access Keyless Entry Lumbar Support LED Headlights Satellite Radio 1 year subscri …"
47,"$36,998",2020 Chrysler Pacifica Touring-L Plus,Velvet Red Pearlcoat,Black/Alloy,Front-wheel Drive,19–28,Gasoline,Automatic,Regular Unleaded V-6 3.6 L/220,"8,371 mi.",None reported,No,Yes,4.9,4.8,4.6,4.6,4.9,4.6,"Only 8,226 Miles! Scores 28 Highway MPG and 19 City MPG! This Chrysler Pacifica boasts a Regular Unleaded V-6 3.6 L/220 engine powering this Automatic transmission. Roof Rack, Rear Child Safety Locks, WHEELS: 17"" X 7.0"" DIAMOND CUT ALUMINUM (STD).
This Chrysler Pacifica Features the
…"
48,"$8,995",2011 Land Rover LR4 Base,Brown,Black,Four-wheel Drive,12–17,Gasoline,Automatic,"5L V-8 gasoline direct injection, DOHC, variable valve control,","134,120 mi.",None reported,No,No,4.8,4.6,4.8,4.1,4.6,4.5,An interior with purpose. The cabin of the Defender can be customized to suit your demands. Designed Like no other. The LandRover LR4 is the strongest and most capable vehicle Europe has ever created. Visit T & S Auto Sales Inc online at www.tandsautosales.com to see more pictures of this vehicle or …
